!System;X;Y;3025
Skaslien;220,523;-191,965;No record
Skiland;-83,830;545,678;No record
Snowdon;-343,952;476,788;No record
Solor;-485,084;166,129;No record
Sorsk;717,094;183,094;No record
Styriania;-503,419;328,205;No record
Summerstide;533,347;-141,269;No record
Sunnywood;61,128;-400,763;No record
Sweet Water;-373,832;312,721;No record
Syrstart;-185,240;576,382;No record
Tyrfing;-33,118;-28,321;No record
Tallassee;146,776;3,931;No record
Taumaturgo;706,701;290,871;No record
Tedibyhr;124,790;-63,402;No record
Thazi;775,431;181,301;No record
Torgvei;-438,578;379,833;No record
Totness;664,937;171,242;No record
Tovetin;36,998;426,239;No record
Ulvskollen;582,383;-207,234;No record
Vaajakoski;118,997;158,047;No record
Valdives;98,850;-371,583;No record
Vortalcoy;-485,097;81,772;No record
Weiz;177,429;-249,212;No record
Weldry;73,944;-417,248;No record
Wokha;751,776;167,106;No record
Yamoussoukra;504,060;-67,985;No record
Yidtall;-479,601;-25,870;No record
Ylemelke;-234,230;451,710;No record
Ype-Jhu;674,285;138,333;No record
Yufu;231,779;119,701;No record
Zacatecoluca;385,877;-217,768;No record
Zalzangor;266,481;-327,090;No record
Zangul;119,804;-402,483;No record
Zawiercie;266,262;167,208;No record
Illizi;-1.025,793;147,903;No record
Kapoeta;-1.010,416;191,329;No record
Kebili;-961,933;113,094;No record
Kefya;-1.033,270;178,507;No record
Ksabi;-1.038,232;114,621;No record
Mostaganem;-995,712;99,916;No record
Nyamlell;-999,195;149,584;No record
Saidia;-1.007,362;124,084;No record
Shahhat;-972,037;139,545;No record
Tadjoura;-994,756;174,807;No record
Tizga;-1.036,573;129,474;No record
Thala;-957,302;167,129;No record
Arcadia (Clan);-115,557;1.607,543;Clans
Babylon;-123,410;1.599,633;Clans
Bearclaw;149,361;1.722,118;Clans
Brim;-24,554;1.767,147;Clans
Circe;-122,476;1.613,574;Clans
Dagda (Clan);-132,168;1.602,599;Clans
Delios;-16,791;1.803,510;Clans
Eden;-133,353;1.612,490;Clans
Gatekeeper;-22,615;1.777,956;Clans
Kirin;-23,630;1.835,897;Clans
Marshall;59,831;1.790,722;Clans
Roche;67,836;1.868,517;Clans
Tathis;85,581;1.810,498;Clans
Vinton;7,646;1.910,759;Clans
York (Clan);-70,863;1.805,594;Clans
Strana Mechty;32,271;1.766,391;Clans
Albion (Clan);-50,196;1.790,727;Clans
Dili;-55,000;-299,300;No record
Konopiste;-44,042;-285,558;No record
Kupang;-51,334;-273,649;No record
Conquista;-9,579;-307,101;Free Worlds League
Shiro III;-28,186;-292,636;Free Worlds League
Ullieri;-31,407;-306,171;No record
Dalian;-57,584;-267,289;No record
Karlstejn;-52,468;-290,763;No record
Antias;-33,238;-385,416;No record
Naryn;-37,191;-361,153;No record
Rosendal;-42,171;-341,900;No record
Salardion;-37,917;-394,620;No record
Claybrooke;-51,972;-369,147;Free Worlds League
Cursa;-51,456;-348,632;Free Worlds League
Itica;-64,064;-373,084;No record
Katla;-59,629;-341,019;No record
Leyda;-71,092;-346,950;Free Worlds League
Mattisskogen;-58,661;-361,366;No record
Viribium;-53,623;-389,078;No record
Andarmax;-3,375;-386,492;Capellan Confederation
Aomen;-18,813;-323,119;No record
Athna;-27,056;-354,266;No record
Espia;-16,910;-389,694;No record
Lurgatan;-20,166;-330,895;Free Worlds League
Niomede;-0,273;-349,524;Capellan Confederation
Pilpala;-23,534;-375,392;Free Worlds League
Principia;-0,016;-357,850;Capellan Confederation
Sadurni;-15,002;-344,373;Free Worlds League
Sax;-1,561;-374,600;Capellan Confederation
Shiba;0,242;-331,187;Capellan Confederation
Calseraigne;-8,281;-367,667;Free Worlds League
Gorki;-15,376;-163,488;No record
Hurgh;129,044;-171,023;No record
Lacadon;133,721;-135,547;No record
Mytilene;151,165;-135,630;No record
Oli;136,498;-151,263;No record
Bithinia;-18,878;-178,455;Capellan Confederation
Chengdu;-29,575;-170,358;No record
Ingersoll;-5,179;-172,210;Capellan Confederation
Masterson;2,760;-185,773;Capellan Confederation
Propus;-12,415;-183,807;Capellan Confederation
Aldertaine;44,714;-191,043;Capellan Confederation
Bandora;13,177;-177,367;Capellan Confederation
Chitwan;18,749;-172,420;No record
Cordiagr;24,296;-191,043;Capellan Confederation
Geifer;37,535;-186,266;Capellan Confederation
Kohlman;20,581;-198,301;No record
Capella;38,133;-172,157;Capellan Confederation
Gei-Fu;57,639;-199,071;Capellan Confederation
No Return;56,332;-177,360;Capellan Confederation
Randar;61,773;-175,778;Capellan Confederation
Relevow;70,306;-188,267;Capellan Confederation
Ares (system);95,382;-173,994;Capellan Confederation
Capricorn;87,616;-186,380;Capellan Confederation
Lhasa;91,814;-164,963;No record
Minnacora;77,285;-170,624;Capellan Confederation
Monhegan;116,047;-184,100;Federated Suns
Necromo;102,876;-188,465;Capellan Confederation
New Sagan;79,871;-177,661;Capellan Confederation
Staffin;105,799;-178,032;No record
Lee;116,831;-148,126;Federated Suns
Gallitzin;131,569;-163,389;Federated Suns
Paches;154,560;-142,767;No record
Perkasie;130,788;-143,764;Federated Suns
Cammal;111,400;-164,975;Federated Suns
Gahral;120,665;-176,543;No record
Vintru;116,313;-159,506;No record
Boardwalk;-13,703;-197,583;Capellan Confederation
Eom;-18,038;-191,788;Capellan Confederation
Exedor;-13,198;-207,890;Capellan Confederation
Jasmine;-31,030;-202,145;Capellan Confederation
Aodh;-40,211;-195,324;No record
Les Halles;-39,048;-187,965;Free Worlds League
Haerhbin;-6,444;-213,646;No record
Kashilla;-1,551;-201,153;Capellan Confederation
Kurragin;3,354;-203,233;Capellan Confederation
Glasgow;28,430;-215,623;Capellan Confederation
Ovan;30,493;-205,809;Capellan Confederation
Overton;46,252;-207,890;Capellan Confederation
Preston (CC);13,177;-214,037;Capellan Confederation
Algot;85,816;-82,771;Federated Suns
Conwy;77,664;-71,325;No record
Halloran V;72,894;-77,022;Federated Suns
New Aragon;69,535;-88,191;Federated Suns
Hunan;71,209;-95,949;Capellan Confederation
Second Try;34,370;-115,809;Capellan Confederation
Shensi;53,764;-92,524;Capellan Confederation
Sichuan;35,534;-108,342;No record
St. Andre;65,648;-100,649;Capellan Confederation
Styk;42,128;-97,499;Capellan Confederation
Tsitsang;51,950;-108,578;Capellan Confederation
Yunnah;27,148;-127,003;Capellan Confederation
Suzano;15,763;-113,995;Free Worlds League
Ventabren;3,354;-123,346;Free Worlds League
Ashkum;111,924;-101,146;Federated Suns
Bell;104,163;-109,868;Federated Suns
Foochow;88,919;-97,499;Capellan Confederation
Foot Fall;94,601;-109,868;Capellan Confederation
Jonathan;100,547;-93,105;Capellan Confederation
Menkar;90,726;-92,066;Capellan Confederation
Tianamon;98,679;-83,789;No record
Campertown;-5,436;-159,326;Capellan Confederation
Chamdo;10,332;-152,286;Capellan Confederation
Lesalles;9,817;-164,975;Capellan Confederation
Raballa;21,709;-157,740;Capellan Confederation
Achilles (CC);44,858;-132,111;No record
Bora;38,768;-157,740;Capellan Confederation
Palos;50,695;-124,723;Capellan Confederation
Quemoy;44,459;-151,496;Capellan Confederation
Sarmaxa;53,230;-163,386;Capellan Confederation
Ulan Bator;35,922;-139,402;Capellan Confederation
Sarna;55,009;-154,880;Capellan Confederation
Kaifeng;71,853;-152,286;Capellan Confederation
Mandate;88,395;-126,222;Capellan Confederation
Matsu;78,304;-136,229;Capellan Confederation
Menkib;75,462;-128,993;Capellan Confederation
New Athens;59,751;-129,939;No record
New Macao;77,542;-122,354;Capellan Confederation
Sakhalin (CC);61,773;-141,685;Capellan Confederation
Shipka;80,120;-110,657;Capellan Confederation
Wei;63,844;-119,184;Capellan Confederation
Zaurak;72,719;-123,292;Capellan Confederation
Aosia;112,622;-141,194;No record
Heligoland;86,076;-145,054;Capellan Confederation
Kek;105,020;-153,207;No record
Moravian;109,081;-132,368;Federated Suns
Remshield;97,445;-139,898;Capellan Confederation
Truth;78,315;-159,326;Capellan Confederation
Tsingtao;93,311;-155,163;Capellan Confederation
Anaea;141,276;-115,621;No record
Genf;147,002;-123,181;No record
Plataea;113,108;-122,491;No record
Undra;113,556;-116,101;No record
Highspire;100,289;-119,184;Capellan Confederation
Acala;134,156;-124,340;Federated Suns
Anegasaki;-49,375;-216,713;Free Worlds League
Bentley;-6,984;-233,761;Capellan Confederation
Calpaca;-20,166;-214,831;Capellan Confederation
Goodna;-28,450;-240,200;Free Worlds League
Klayne;-11,536;-242,391;No record
Krin;-7,765;-221,268;Capellan Confederation
Pella II;-30,504;-227,021;Capellan Confederation
Ipswich;-48,342;-232,969;Free Worlds League
Toch Zu;64,325;-317,163;No record
Lochmantle;138,301;-327,701;No record
Pentvar;131,659;-301,133;No record
Holloway;64,875;-301,458;Capellan Confederation
Jonzac;115,275;-297,587;Federated Suns
Lucknow;73,028;-337,090;No record
Madras;70,555;-325,241;Capellan Confederation
Manapire;82,450;-292,929;Federated Suns
Mazdru;92,725;-321,517;No record
Tetschner;96,589;-292,245;No record
Verlo;100,547;-303,042;Federated Suns
Wantorill;84,412;-303,150;No record
Xieng Khouang;85,293;-311,764;Capellan Confederation
Yongd;113,192;-309,007;No record
Alexandria (CC);110,827;-356,104;No record
Jacson;110,619;-346,452;Capellan Confederation
Kazu;101,119;-364,208;No record
Menke;90,726;-330,895;Capellan Confederation
Mitchel;108,814;-328,313;Capellan Confederation
Sindalin;104,842;-338,739;No record
Victoria (CC);92,884;-347,978;Capellan Confederation
Weitinger;125,018;-343,960;No record
Courcellete;141,650;-310,772;Federated Suns
Frazer;129,232;-333,467;Federated Suns
Glentworth;125,880;-317,712;Federated Suns
Sirdar;127,160;-309,481;Federated Suns
Bergtatt;117,216;-375,025;No record
Corodiz;135,703;-374,901;Capellan Confederation
Kern;126,171;-384,043;No record
Larsha;118,379;-393,234;Capellan Confederation
Maldive;138,074;-364,572;No record
Muridox;106,492;-382,137;Capellan Confederation
Non Diz;146,985;-369,067;No record
Rollis;150,442;-383,425;Capellan Confederation
Yuris;134,663;-350,514;Capellan Confederation
Zanzibar;119,667;-364,786;Capellan Confederation
Adrar;-4,382;-409,233;No record
Liu's Memory;-10,824;-416,351;No record
Jia Tian;-29,949;-419,973;No record
Hibuarius;-38,682;-410,743;No record
New Roland;-8,023;-401,262;Capellan Confederation
Segerica;-27,284;-406,942;No record
Cluff's Stand;1,344;-428,929;No record
Aquagea;-56,903;-402,982;No record
Achtur;43,559;-421,610;No record
Ghorepani;10,056;-406,489;No record
Linhauiguan;15,772;-425,723;No record
Lyreton;59,059;-420,684;No record
Payia;35,240;-406,484;No record
Renown;41,604;-397,893;Capellan Confederation
Repulse;16,271;-397,100;Capellan Confederation
Wyeth's Glory;24,526;-415,047;No record
Itrom;92,459;-442,683;No record
Smithon;126,499;-432,670;No record
Tyrlon;115,752;-446,465;No record
Bringdam;101,458;-409,107;No record
Enkra;119,287;-410,733;No record
Fjaldr;88,314;-404,570;No record
Hurik;77,792;-396,306;Capellan Confederation
Ryan's Fate;90,206;-416,562;No record
Umgard;124,332;-419,083;No record
Ward;72,103;-408,200;Capellan Confederation
Cronulla;-33,091;-251,008;Free Worlds League
Frondas;-17,846;-247,735;Capellan Confederation
Fronde;-5,962;-251,599;Capellan Confederation
Iknogoro;-50,158;-248,430;Free Worlds League
Kujari;-25,863;-265,076;Free Worlds League
New Troy;-51,105;-259,908;No record
Wallacia;-38,274;-267,852;Free Worlds League
Altorra;-2,852;-263,495;Capellan Confederation
Dì-fang;-9,650;-297,470;No record
Furud;-25,337;-284,112;Free Worlds League
Palladaine;-3,109;-287,978;Capellan Confederation
Scarborough;-15,527;-272,015;Free Worlds League
Westerhand;-5,436;-276,084;Capellan Confederation
Harbin;17,605;-223,263;No record
Castrovia;13,692;-252,594;Capellan Confederation
Claxton;15,497;-264,185;Capellan Confederation
Hexare;31,017;-233,165;Capellan Confederation
Imalda;29,976;-240,203;Capellan Confederation
Ito;7,478;-275,583;Capellan Confederation
Java;2,717;-241,816;No record
Mumbai;25,302;-248,926;No record
Sian;7,152;-229,662;Capellan Confederation
Tunlmar;51,243;-233,764;No record
Decus;44,448;-251,599;Capellan Confederation
Florarda;32,033;-256,932;No record
Harloc;41,870;-224,443;Capellan Confederation
Hustaing;55,052;-245,656;Capellan Confederation
New Westin;38,253;-241,987;Capellan Confederation
Purvo;59,693;-258,832;Capellan Confederation
Ziliang;68,494;-264,187;Federated Suns
Zanzor;61,806;-293,804;No record
Carmen;28,430;-264,486;Capellan Confederation
Homestead;57,896;-283,618;Capellan Confederation
Housekarle;33,337;-276,876;Capellan Confederation
Jungar Qi;15,543;-281,895;No record
Sendalor;43,684;-266,866;Capellan Confederation
Sumy;37,988;-289,225;No record
Velhas;69,256;-278,659;Federated Suns
Yàn-huì;55,622;-273,649;No record
Nukus;-2,093;-320,600;No record
Betelgeuse;5,674;-306,903;Capellan Confederation
Latice;10,590;-293,726;Capellan Confederation
Sigma Mare;6,456;-314,937;Capellan Confederation
Wright;26,351;-290,847;Capellan Confederation
Barras;20,917;-354,184;Capellan Confederation
Brest;30,759;-303,500;No record
Buenos Aires;18,092;-341,994;Capellan Confederation
Chennai;10,046;-374,191;No record
Dicon;20,144;-325,241;Capellan Confederation
Grand Base;46,002;-298,878;Capellan Confederation
Kasdach;20,928;-313,054;Capellan Confederation
Nihal;43,933;-310,771;Capellan Confederation
Pell;16,092;-334,880;No record
Primus;39,543;-320,091;Capellan Confederation
Prix;38,243;-328,313;Capellan Confederation
Raphael;45,232;-314,880;Capellan Confederation
Turin;21,186;-367,858;Capellan Confederation
Itsbur;64,184;-362,850;No record
Murris;52,218;-379,328;No record
Shaun;53,270;-328,061;No record
Bellatrix;54,279;-351,609;Capellan Confederation
Borden;51,427;-370,734;Capellan Confederation
Cavalor;60,990;-387,783;Capellan Confederation
Columbine;74,945;-345,955;Capellan Confederation
Decatur;54,151;-336,258;Capellan Confederation
Drozan;31,267;-369,942;Capellan Confederation
Egress;67,969;-370,238;Capellan Confederation
Gunthar;39,275;-383,124;Capellan Confederation
Jacomarle;12,911;-382,628;Capellan Confederation
Kurvasa;39,543;-351,609;Capellan Confederation
Ordino;42,016;-362,735;No record
Pojos;85,025;-377,176;Capellan Confederation
Quimberton;83,224;-359,395;Capellan Confederation
Vard;74,174;-354,976;Capellan Confederation
Denbar;69,007;-235,248;Capellan Confederation
Kittery;82,181;-223,944;Federated Suns
Milos;57,639;-225,235;Capellan Confederation
Vestallas;66,689;-214,831;Capellan Confederation
Armaxa;106,484;-205,806;Capellan Confederation
Brighton;79,087;-200,359;Capellan Confederation
Nashuar;97,583;-202,102;Capellan Confederation
Scituate;87,880;-219,985;Federated Suns
Taga;88,919;-207,395;Capellan Confederation
St. Ives;109,619;-214,379;Capellan Confederation
Khi;134,044;-205,925;No record
Knutdor;145,171;-194,636;No record
Alto;106,484;-194,180;No record
Dowles;117,001;-207,462;No record
Shoreham;123,799;-217,700;Federated Suns
Andro;144,745;-173,000;Federated Suns
Bethel;140,619;-184,105;Federated Suns
Alcyone;129,758;-197,583;Federated Suns
Daniels;124,593;-196,495;Federated Suns
Redfield;140,093;-212,747;Federated Suns
Stein's Folly;159,739;-200,359;Federated Suns
Zindao;105,508;-241,562;No record
Ambergrist;83,482;-257,545;Capellan Confederation
Bogerth;67,938;-256,430;No record
Gurnet;93,475;-231,091;Federated Suns
Immenstadt;82,181;-277,961;Federated Suns
Indicass;72,368;-249,026;Capellan Confederation
Maladar;108,822;-247,735;Capellan Confederation
Oligar;89,777;-270,835;No record
Patan;92,955;-261,969;No record
Spica;92,538;-237,625;Disputed World
St. Loris;89,951;-241,987;Capellan Confederation
Tantara;101,311;-252,886;Capellan Confederation
Uravan;75,828;-263,872;Federated Suns
Blandou;120,873;-280,959;No record
Ikast;101,312;-284,107;Federated Suns
Kafr Silim;118,636;-287,973;Federated Suns
Tallin;119,675;-267,063;Capellan Confederation
Teng;127,695;-272,020;Capellan Confederation
Texlos;110,627;-272,516;Capellan Confederation
Warlock;120,192;-257,747;Capellan Confederation
Weatogue;98,735;-276,675;Federated Suns
Hadnall;136,734;-262,702;Federated Suns
Dhaulgiri;137,384;-279,604;No record
Safe Port;134,415;-286,986;Federated Suns
Weekapaug;107,785;-225,435;Federated Suns
Abruzzi;149,392;-304,327;Federated Suns
Avigait;153,018;-275,094;Federated Suns
Bacum;157,152;-289,260;Federated Suns
Cotocallao;144,753;-299,672;Federated Suns
Laong;114,532;-223,081;No record
Beid;124,585;-243,766;Federated Suns
Corella;142,165;-251,304;Federated Suns
Haappajarvi;137,240;-240,696;Federated Suns
Mentasta;114,246;-237,329;Federated Suns
New Stevens;22,346;-6,068;No record
Bryant;13,177;-13,229;Capellan Confederation
Caph;12,917;-0,564;Federated Suns
Liberty;-5,436;-20,722;Capellan Confederation
Keid;3,096;-10,127;Capellan Confederation
New Home;7,229;-12,715;Capellan Confederation
Ningpo;54,279;-66,743;Capellan Confederation
Pleione;51,435;-79,668;Capellan Confederation
Poznan;62,546;-81,213;Capellan Confederation
Brownsville;6,466;-29,788;No record
Capolla;8,003;-41,409;Capellan Confederation
Elgin;1,540;-50,974;Capellan Confederation
Hall;-13,961;-44,251;Capellan Confederation
Hsien;5,683;-54,334;Capellan Confederation
Outreach;-3,109;-34,688;Capellan Confederation
Terra Firma;22,495;-33,623;Capellan Confederation
Acamar;39,543;-38,565;Capellan Confederation
Epsilon Eridani;18,350;-21,248;Capellan Confederation
Epsilon Indi;29,203;-15,558;Capellan Confederation
Fletcher (CC);46,777;-23,569;Capellan Confederation
Ingress;49,622;-18,661;Capellan Confederation
Sheratan;40,840;-21,506;Capellan Confederation
Small World;51,693;-7,025;Capellan Confederation
Woodstock;44,199;-36,749;Capellan Confederation
Northwind;34,118;-2,891;Federated Suns
Alpha Eridani;77,285;-32,361;Capellan Confederation
Angol;87,880;-38,822;Federated Suns
Basalt;66,163;-29,000;Federated Suns
Bharat;58,927;-41,666;Capellan Confederation
Hamal;64,875;-43,470;Capellan Confederation
Kawich;53,764;-29,514;Federated Suns
Nopah;57,123;-33,649;Federated Suns
Ruchbah;57,383;-22,794;Federated Suns
Tigress;74,697;-29,514;Capellan Confederation
Yangtze;75,470;-43,928;Capellan Confederation
Rio;95,382;-28,740;Federated Suns
Belluevue;-0,030;-79,895;No record
Berenson;-13,703;-71,133;Free Worlds League
Mandal;-8,766;-55,980;No record
Menkalinan;-0,006;-70,618;Free Worlds League
New Canton;8,269;-72,946;Capellan Confederation
Saiph;4,644;-68,030;Capellan Confederation
Tall Trees;0,767;-66,743;Capellan Confederation
Wasat;-19,908;-54,593;Free Worlds League
Aldebaran;24,813;-64,414;Capellan Confederation
Arboris;43,158;-51,489;Capellan Confederation
Azha;53,764;-51,489;Capellan Confederation
Bex;32,245;-46,081;No record
Genoa;39,026;-59,756;Capellan Confederation
Nanking;22,742;-51,745;Capellan Confederation
Slocum;58,154;-52,260;Capellan Confederation
Zurich;20,153;-63,126;Capellan Confederation
Algol;64,875;-67,773;Capellan Confederation
Alrescha;84,520;-49,416;Capellan Confederation
Buchlau;70,048;-68,804;Capellan Confederation
Kansu;67,719;-59,756;Capellan Confederation
New Hessen;84,005;-57,121;Capellan Confederation
Tikonov;102,838;-42,217;Capellan Confederation
Jilin;-6,215;-114,935;No record
Kyrkbacken;3,417;-94,298;Free Worlds League
Zion;15,246;-83,285;Free Worlds League
Asuncion;5,167;-101,640;Free Worlds League
Ilmachna;-3,351;-108,450;No record
Ohrensen;-16,290;-121,760;Free Worlds League
Bhaktapur;24,475;-78,520;No record
Liao;34,290;-68,578;Capellan Confederation
Gan Singh;41,613;-79,668;Capellan Confederation
Manennaia;27,682;-89,515;No record
Snailzar;21,039;-101,422;No record
Tamaron;-2,032;1.855,576;Clans
Circinus;-388,555;-66,824;Circinus Federation
Shadow;-2,045;1.748,524;Clans
Hector;151,346;1.768,334;Clans
Ironhold;46,153;1.743,584;Clans
Barcella;-23,732;1.894,956;Clans
Jardine;-200,944;-91,199;ComStar
Sharpe;63,639;-207,462;ComStar
Terra;0,000;0,000;ComStar
Versailles;206,934;-81,726;ComStar
Sheridan (Clan system);125,914;1.792,814;Clans
Londerholm;-42,250;1.871,264;Clans
Lum;5,790;1.756,491;Clans
Talisker;29,067;130,195;No record
Arkab;77,285;200,800;Draconis Combine
Babuyan;87,880;223,290;Draconis Combine
Chimpaw;45,162;154,465;No record
Darius;65,124;204,678;Draconis Combine
Dumaring;79,605;223,291;Draconis Combine
Gram;54,279;144,452;Draconis Combine
Kiamba;71,070;239,834;Draconis Combine
Kiesen;50,910;216,314;Draconis Combine
Kingtribel;32,592;142,444;No record
Meilen;59,959;219,676;Draconis Combine
Odabasi;71,079;213,725;Draconis Combine
Ogano;82,973;211,138;Draconis Combine
Otho;78,418;176,289;Draconis Combine
Shimosuwa;46,002;135,405;Draconis Combine
Trolloc Prime;33,585;171,080;Draconis Combine
Aubisson;4,386;146,514;Draconis Combine
Buckminster;17,582;154,653;Draconis Combine
Baldur;79,884;188,109;Draconis Combine
Annapolis;164,654;130,745;Draconis Combine
Apriki;173,189;121,448;Draconis Combine
Barlow's Folly;173,189;66,905;Draconis Combine
Donenac;200,327;88,880;Draconis Combine
Galtor III;194,121;73,107;Federated Suns
Hildaman;170,519;90,257;No record
Koping Chian;181,196;116,275;Draconis Combine
Ljugarn;197,997;120,407;Draconis Combine
Ludwig;162,067;76,984;Draconis Combine
Monistrol;159,481;123,509;Draconis Combine
New Mendham;179,124;59,401;Draconis Combine
Paris;191,792;47,517;Draconis Combine
Reisling's Planet;175,765;80,602;Draconis Combine
Mayadi;158,383;106,747;No record
Tripoli;199,553;52,938;Draconis Combine
Irurzun;187,050;97,538;Draconis Combine
Aix-la-Chapelle;76,599;162,627;Draconis Combine
Awano;95,899;160,994;Draconis Combine
Cadiz;122,004;149,102;Draconis Combine
Dover;132,602;201,313;Draconis Combine
Dyfed;126,138;213,725;Draconis Combine
Falsterbo;170,860;147,555;Draconis Combine
Fukuroi;110,627;134,115;Draconis Combine
Havdhem;183,269;185,545;Draconis Combine
Helsingfors;143,712;152,719;Draconis Combine
Mersa Matruh;130,855;168,849;Draconis Combine
Minakuchi;63,844;116,530;Draconis Combine
Minowa;183,519;157,407;Draconis Combine
Osmus Saar;149,400;173,921;Draconis Combine
Paracale;99,764;215,569;Draconis Combine
Peacock;136,476;183,999;Draconis Combine
Saaremaa;138,806;136,951;Draconis Combine
Sakai;109,339;205,973;Draconis Combine
Shibukawa;116,575;183,226;Draconis Combine
Silkeborg;181,454;185,813;Draconis Combine
Sutama;90,726;123,766;Draconis Combine
Tamsalu;167,499;164,510;Draconis Combine
Tatsuno;204,459;155,048;Draconis Combine
Tok Do;94,821;178,989;Draconis Combine
Valmiera;188,947;132,044;Draconis Combine
Vanern;159,223;141,093;Draconis Combine
Yardley;166,470;209,849;Draconis Combine
Benjamin;123,977;134,529;Draconis Combine
Kajikazawa;88,409;142,617;Draconis Combine
Celebes;118,075;75,829;No record
David;140,085;19,234;Federated Suns
