SARNA.NET PATH	PLANET NAME	COORDINATES	SARNA.NET OVERHAUL PHASE	3025 AFFILIATION	REMARKS
/wiki/Anguilla	Anguilla	411.78:79.28	5	Federated Suns	
/wiki/Anjin_Muerto	Anjin Muerto	586.51:-78.11	5	Federated Suns	
/wiki/Ankaa	Ankaa	74.70:-9.36	5	Federated Suns	
/wiki/Anklan	Anklan	-861.92:780.19	5	?	
/wiki/Ankolika	Ankolika	-217.17:-221.27	5	Free Worlds League	
/wiki/Annapolis	Annapolis	164.65:130.75	5	Draconis Combine	
/wiki/Annunziata	Annunziata	-240.17:358.74	5	Lyran Commonwealth	
/wiki/Annwyn	Annwyn	-297.18:71.30	5	No record	
/wiki/Antallos_(Port_Krin)	Antallos (Port Krin)	463.23:281.42	5	Independent world	
/wiki/Antares	Antares	-124.89:297.73	5	Lyran Commonwealth	
/wiki/Antias	Antias	-33.24:-385.42	5	No record	
/wiki/Antietam	Antietam	330.86:-137.02	5	Federated Suns	
/wiki/Antipolo	Antipolo	-94.87:-268.85	5	Free Worlds League	
/wiki/Antwerp	Antwerp	-668.90:869.79	5	?	
/wiki/Anywhere	Anywhere	-167.21:436.03	5	Lyran Commonwealth	
/wiki/Aodh	Aodh	-40.21:-195.32	5	No record	
/wiki/Aomen	Aomen	-18.81:-323.12	5	No record	
/wiki/Aosia	Aosia	112.62:-141.19	5	No record	
/wiki/Apinzel	Apinzel	-447.89:113.69	5	No record	
/wiki/Apolakkia	Apolakkia	-116.38:340.39	5	Lyran Commonwealth	
/wiki/Apollo_(system)	Apollo (system)	-129.64:432.46	5	Lyran Commonwealth	
/wiki/Apostica	Apostica	-59.71:155.31	5	Lyran Commonwealth	
/wiki/Appian	Appian	44.14:-466.75	5	No record	
/wiki/Apriki	Apriki	173.19:121.45	5	Draconis Combine	
/wiki/Apsalar	Apsalar	-121.36:562.12	5	?	
/wiki/Aquagea	Aquagea	-56.90:-402.98	5	No record	
/wiki/Aquavita	Aquavita	-296.54:59.91	5	No record	
/wiki/Aquileia	Aquileia	-88.44:-27.88	5	No record	
/wiki/Aragon	Aragon	-667.35:1127.05	5	?	
/wiki/Asturias	Asturias	-718.97:1102.76	5	?	
/wiki/C%C3%B3rdoba	Córdoba	-689.24:1151.60	5	?	
/wiki/Arboris	Arboris	43.16:-51.49	5	Capellan Confederation	
/wiki/Arc-Royal	Arc-Royal	-170.39:226.58	5	Lyran Commonwealth	
/wiki/Arcadia_(Clan)	Arcadia (Clan)	-115.56:1607.54	5	Clan Ghost Bear / Clan Star Adder / Clan Steel Viper	
/wiki/Arcadia_(FS)	Arcadia (FS)	253.74:-88.60	5	No record	
/wiki/Arcadia_(LC)	Arcadia (LC)	-186.34:-8.06	5	Lyran Commonwealth	
/wiki/Arcturus	Arcturus	-78.01:174.44	5	Lyran Commonwealth	
/wiki/Ardoz	Ardoz	46.26:245.78	5	Draconis Combine	
/wiki/Ares_(planet)	Ares (planet)	95.38:-173.99	5	Capellan Confederation	
/wiki/Arganda	Arganda	-154.82:36.14	5	Lyran Commonwealth	
/wiki/Argos	Argos	177.46:-484.34	5	No record	
/wiki/Argyle	Argyle	255.38:-109.17	5	Federated Suns	
/wiki/Ariel	Ariel	-115.77:-98.53	5	Free Worlds League	
/wiki/Aristotle	Aristotle	-183.57:65.09	5	Lyran Commonwealth	
/wiki/Arkab	Arkab	77.29:200.80	5	Draconis Combine	
/wiki/Arlanda	Arlanda	-300.53:380.65	5	No record	
/wiki/Arlington	Arlington	212.74:99.73	5	Draconis Combine	
/wiki/Arluna	Arluna	-281.49: 333.92	5	Lyran Commonwealth	
/wiki/Armaxa	Armaxa	106.48:-205.81	5	Capellan Confederation	
/wiki/Armington	Armington	420.82:-303.74	5	Federated Suns	
/wiki/Armstrong	Armstrong	-488.30:12.61	5	?	
/wiki/Arnaudville	Arnaudville	583.66:36.66	5	Federated Suns	
/wiki/Arromanches	Arromanches	431.23:36.68	5	No record	
/wiki/Artru	Artru	166.00:-469.81	5	No record	
/wiki/Arundel	Arundel	595.21:-121.35	5	No record	
/wiki/As_Samik	As Samik	346.89:-286.69	5	Federated Suns	
/wiki/Ascella	Ascella	20.93:74.40	5	Draconis Combine	
/wiki/Asellus_Australis	Asellus Australis	-100.01:-113.83	5	Free Worlds League	
/wiki/Asellus_Borealis	Asellus Borealis	-100.61:-118.19	5	Free Worlds League	
/wiki/Asgard	Asgard	126.65:266.20	5	Draconis Combine	
/wiki/Ashburton	Ashburton	-263.45:-139.90	5	Free Worlds League	
/wiki/Ashio	Ashio	73.57:66.75	5	Draconis Combine	
/wiki/Ashkum	Ashkum	111.92:-101.15	5	Capellan Confederation	
/wiki/Ashley	Ashley	164.39:-308.39	5	Federated Suns	
/wiki/Aspropirgos	Aspropirgos	-119.14:-380.55	5	Free Worlds League	
/wiki/Asta	Asta	4.13:25.54	5	Draconis Combine	
/wiki/Astrokaszy	Astrokaszy	-290.63:-315.41	5	Independent world	
/wiki/Asuncion	Asuncion	5.17:-101.64	5	Free Worlds League	
/wiki/Athenry	Athenry	17.57:30.97	5	Draconis Combine	
/wiki/Athna	Athna	-27.06:-354.27	5	No record	
/wiki/Atlas_(planet)	Atlas (planet)	157.42:-244.07	5	Federated Suns	
/wiki/Atocongo	Atocongo	-170.88:245.26	5	Lyran Commonwealth	
/wiki/Atreus_(Clan_planet)	Atreus (Clan planet)	71.78:1732.83	5	Clan Smoke Jaguar / Clan Fire Mandrill / Clan Ice Hellion	
/wiki/Atreus_(FWL)	Atreus (FWL)	-191.07:-163.78	5	Free Worlds League	
/wiki/Atreus_Prime	Atreus Prime	227.71:-373.56	5	Taurian Concordat	
/wiki/Atria	Atria	-16.03:51.65	5	Draconis Combine	
/wiki/Atsugi	Atsugi	-201.11:-227.22	5	Free Worlds League	
/wiki/Attenbrooks	Attenbrooks	-71.71:985.31	5	?	
/wiki/Atzenbrugg	Atzenbrugg	-377.64:-176.57	5	Free Worlds League	
/wiki/Aubisson	Aubisson	4.39:146.51	5	Draconis Combine	
/wiki/Aucara	Aucara	176.54:-296.30	5	Federated Suns	
/wiki/August	August	-124.02:-115.59	5	No record	
/wiki/Augusta	Augusta	282.27:-99.05	5	Federated Suns	
/wiki/Augustine	Augustine	-43.70:-76.82	5	Free Worlds League	
/wiki/Auldhouse	Auldhouse	-51.01:139.20	5	Lyran Commonwealth	
/wiki/Aur	Aur	-146.80:134.37	5	Lyran Commonwealth	
/wiki/Australia	Australia	-304.30:289.47	5	Lyran Commonwealth	
/wiki/Autumn_Wind	Autumn Wind	-167.51:-87.42	5	Free Worlds League	
/wiki/Avawatz	Avawatz	164.91:-29.51	5	Federated Suns	
/wiki/Avellaneda	Avellaneda	-57.65:-82.24	5	Free Worlds League	
/wiki/Avigait	Avigait	153.02:-275.09	5	Federated Suns	
/wiki/Avior	Avior	-116.87:-163.19	5	Free Worlds League	
/wiki/Avon	Avon	150.09:250.80	5	Draconis Combine	
/wiki/Avranches	Avranches	324.65:102.40	5	?	
/wiki/Awano	Awano	95.90:160.99	5	Draconis Combine	
/wiki/Awyron	Awyron	-265.18:411.66	5	No record	
/wiki/Axton	Axton	127.17:-113.24	5	Federated Suns	
/wiki/Ayacucho	Ayacucho	-403.31:52.94	5	Lyran Commonwealth	
/wiki/Aylmer	Aylmer	-390.83:-141.98	5	Free Worlds League	
/wiki/Ayn_Tarma	Ayn Tarma	-172.47:-302.75	5	Free Worlds League	
/wiki/Azha	Azha	53.76:-51.49	5	Capellan Confederation	
/wiki/Azur	Azur	651.30:257.75	5	No record	
/wiki/Babaeski	Babaeski	-137.59:307.82	5	Lyran Commonwealth	
/wiki/Babuyan	Babuyan	87.88:223.29	5	Draconis Combine	
/wiki/Babylon	Babylon	-123.41:1599.63	5	Clans	
/wiki/Baccalieu	Baccalieu	-404.74:-334.76	5	Marian Hegemony	
/wiki/Bacum	Bacum	157.15:-289.26	5	Federated Suns	
/wiki/Bad_News	Bad News	422.12:195.37	5	Draconis Combine	
/wiki/Badlands	Badlands	421.69:-354.20	5	No record	
/wiki/Baggville	Baggville	-308.21:330.43	5	No record	
/wiki/Bahl%27s_Retreat	Bahl's Retreat	149.80:-163.60	5	No record	
/wiki/Bainsville	Bainsville	-141.44:-83.29	5	Free Worlds League	
/wiki/Baker_3	Baker 3	-104.47:324.10	5	Lyran Commonwealth	
/wiki/Baldur	Baldur	79.88:188.11	5	Draconis Combine	
/wiki/Baliggora	Baliggora	590.77:154.37	5	Outworlds Alliance	
/wiki/Balkan	Balkan	-32.85:85.03	5	No record	
/wiki/Ballad_II	Ballad II	-269.75:-465.07	5	No record	
/wiki/Ballalaba	Ballalaba	-401.67:-352.79	5	Marian Hegemony	
/wiki/Ballentine	Ballentine	236.55:21.57	5	No record	
/wiki/Ballynure	Ballynure	-82.20:246.30	5	Lyran Commonwealth	
/wiki/Balsta	Balsta	28.94:412.77	5	Draconis Combine	
/wiki/Baltar	Baltar	488.64:-362.60	5	No record	
/wiki/Baltazar_III	Baltazar III	-440.09:-59.55	5	Circinus Federation	
/wiki/Bamburgh	Bamburgh	607.35:-136.46	5	No record	
/wiki/Ban_Na_San	Ban Na San	359.81:220.70	5	Draconis Combine	
/wiki/Bandora	Bandora	13.18:-177.37	5	Capellan Confederation	
/wiki/Banfora	Banfora	-98.06:-349.68	5	No record	
/wiki/Bangor	Bangor	176.54:349.72	5	Draconis Combine	
/wiki/Bannerhoft	Bannerhoft	550.56:285.39	5	No record	
/wiki/Banori	Banori	494.25:124.12	5	Outworlds Alliance	
/wiki/Barada	Barada	?	?	?	Apocryphal
/wiki/Barahona	Barahona	684.66:284.05	5	No record	
/wiki/Baranda	Baranda	449.45:-259.03	5	Federated Suns	
/wiki/Barcella	Barcella	-23.73:1894.96	5	Clan Nova Cat / Clan Ice Hellion / Clan Jade Falcon	
/wiki/Barcelona	Barcelona	-204.78:411.47	5	Lyran Commonwealth	
/wiki/Barlaston	Barlaston	-123.60:-266.57	5	Free Worlds League	
/wiki/Barlow%27s_End	Barlow's End	304.50:63.03	5	Federated Suns	
/wiki/Barlow%27s_Folly	Barlow's Folly	173.19:66.91	5	Draconis Combine	
/wiki/Barras	Barras	20.92:-354.18	5	Capellan Confederation	
/wiki/Barstow	Barstow	170.60:-40.89	5	Federated Suns	
/wiki/Bartrock	Bartrock	590.65:-148.15	5	No record	
/wiki/Baruun_Urt	Baruun Urt	105.58:237.73	5	Draconis Combine	
/wiki/Baryshevo	Baryshevo	-350.49:235.44	5	Lyran Commonwealth	
/wiki/Basalt	Basalt	66.16:-29.00	5	Federated Suns	
/wiki/Basantapur	Basantapur	364.47:-284.41	5	Federated Suns	
/wiki/Basiliano	Basiliano	-36.97:341.43	5	Draconis Combine	
/wiki/Bass	Bass	-218.51:-353.60	5	Magistracy of Canopus	
/wiki/Bassfield	Bassfield	588.83:4.87	5	Federated Suns	
/wiki/Bastian	Bastian	297.26:-160.02	5	Federated Suns	
/wiki/Bastrop	Bastrop	563.40:61.71	5	Federated Suns	
/wiki/Batajnica	Batajnica	-369.91:118.35	5	Lyran Commonwealth	
/wiki/Batavia	Batavia	201.10:-55.36	5	Federated Suns	
/wiki/Battaraigi	Battaraigi	-193.91:495.75	5	?	
/wiki/Baxley	Baxley	432.20:-150.01	5	Federated Suns	
/wiki/Baxter	Baxter	-31.29:112.66	5	Lyran Commonwealth	
/wiki/Bayeux	Bayeux	551.92:-52.64	5	No record	
/wiki/Bayindir	Bayindir	-242.75:-296.30	5	Free Worlds League	
/wiki/Bayis_II	Bayis II	-254.16:166.53	5	No record	
/wiki/Bazaar	Bazaar	23.56:754.29	5	?	
/wiki/Bearclaw	Bearclaw	149.36:1722.12	5	Clans	
/wiki/Beaumont	Beaumont	583.94:39.76	5	Federated Suns	
/wiki/Beauvais	Beauvais	-500.21:204.07	5	?	
/wiki/Beckars	Beckars	-510.10:128.99	5	?	
/wiki/Bedeque	Bedeque	-124.59:-77.34	5	Free Worlds League	
/wiki/Beecher	Beecher	183.78:-50.20	5	Federated Suns	
/wiki/Beenleigh	Beenleigh	183.78:-268.85	5	Federated Suns	
/wiki/Beid	Beid	124.59:-243.77	5	Federated Suns	
/wiki/Beils	Beils	155.18:190.34	5	?	
/wiki/Belacruz	Belacruz	378.02:179.12	5	No record	
/wiki/Belaire	Belaire	334.49:-274.30	5	Federated Suns	
/wiki/Belamor	Belamor	61.81:-293.80	5	No record	
/wiki/Bell	Bell	104.16:-109.87	5	Capellan Confederation	
/wiki/Bell_(OA)	Bell (OA)	535.24:221.31	5	No record	
/wiki/Bella_I	Bella I	-259.29:-44.25	5	Free Worlds League	
/wiki/Belladonna	Belladonna	262.88:-124.64	5	Federated Suns	
/wiki/Bellatrix	Bellatrix	54.28:-351.61	5	Capellan Confederation	
/wiki/Belle_Isle	Belle Isle	445.27:-451.75	5	No record	
/wiki/Bellevue	Bellevue	328.03:-57.68	5	Federated Suns	
/wiki/Belluevue	Belluevue	-0.03:-79.90	5	No record	
/wiki/Benedict	Benedict	473.29:-11.43	5	Federated Suns	
/wiki/Benet	Benet	262.88:58.11	5	Federated Suns	
/wiki/Benfled	Benfled	-72.91:260.77	5	Lyran Commonwealth	
/wiki/Benjamin	Benjamin	123.98:134.53	5	Draconis Combine	
/wiki/Bensinger	Bensinger	-128.76:444.56	5	Lyran Commonwealth	
/wiki/Bentley	Bentley	-6.98:-233.76	5	Capellan Confederation	
/wiki/Beowulf_(planet)	Beowulf (planet)	-124.15:507.22	5	?	
/wiki/Berenson	Berenson	-13.70:-71.13	5	Free Worlds League	
/wiki/Bergen	Bergen	-767.17:741.27	5	?	
/wiki/Bergman%27s_Planet	Bergman's Planet	265.98:74.91	5	Federated Suns	
/wiki/Bergtatt	Bergtatt	117.22:-375.03	5	No record	
/wiki/Bernardo	Bernardo	-21.21:-94.60	5	Free Worlds League	
/wiki/Bessarabia	Bessarabia	-25.61:276.80	5	Draconis Combine	
/wiki/Beta_Mensae_V	Beta Mensae V	317.16:129.20	5	Draconis Combine	
/wiki/Beta_Regulus_II	Beta Regulus II	-201.45:276.41	5	No record	
/wiki/Beta_VII	Beta VII	-154.82:384.33	5	Lyran Commonwealth	
/wiki/Betelgeuse	Betelgeuse	5.67:-306.90	5	Capellan Confederation	
/wiki/Beten_Kaitos	Beten Kaitos	167.16:-112.91	5	Federated Suns	
/wiki/Bethel	Bethel	140.62:-184.11	5	Federated Suns	
/wiki/Bethonolog	Bethonolog	-187.95:-358.00	5	Magistracy of Canopus	
/wiki/Bettendorf	Bettendorf	264.95:25.80	5	Federated Suns	
/wiki/Bex	Bex	32.25:-46.08	5	No record	
/wiki/Bhaktapur	Bhaktapur	24.47:-78.52	5	No record	
/wiki/Bharat	Bharat	58.93:-41.67	5	Capellan Confederation	
/wiki/Bhykov	Bhykov	70.05:-228.30	5	No record	
/wiki/Bicester	Bicester	148.63:227.95	5	Draconis Combine	
/wiki/Biegga	Biegga	-189.76:382.35	5	No record	
/wiki/Biham	Biham	71.85:36.65	5	Draconis Combine	
/wiki/Bilma	Bilma	111.21:321.11	5	?	
/wiki/Biloela	Biloela	-351.28:-12.71	5	Lyran Commonwealth	
/wiki/Binyang	Binyang	-370.41:21.41	5	Lyran Commonwealth	
/wiki/Biota	Biota	-44.74:271.63	5	Lyran Commonwealth	
/wiki/Birmensdorf	Birmensdorf	383.08:-270.93	5	Federated Suns	
/wiki/Birqash	Birqash	275.80:-266.27	5	Federated Suns	
/wiki/Bismarck_(planet)	Bismarck (planet)	-245.32:-264.98	5	Free Worlds League	
/wiki/Bithinia	Bithinia	-18.88:-178.46	5	Capellan Confederation	
/wiki/Biuque	Biuque	-223.12:245.01	5	Lyran Commonwealth	
/wiki/Bjarred	Bjarred	243.39:408.68	5	Draconis Combine	
/wiki/Bjornlunda	Bjornlunda	-149.97:88.35	5	Lyran Commonwealth	
/wiki/Black_Earth	Black Earth	-180.40:393.64	5	Lyran Commonwealth	
/wiki/Blackjack_(planet)	Blackjack (planet)	-156.91:364.43	5	Lyran Commonwealth	
/wiki/Blackstone	Blackstone	-123.88:473.52	5	Oberon Confederation	
/wiki/Blair_Atholl	Blair Atholl	-98.76:271.12	5	Lyran Commonwealth	
/wiki/Blandinsville	Blandinsville	227.99:-32.87	5	Federated Suns	
/wiki/Blandou	Blandou	120.87:-280.96	5	No record	
/wiki/Blantleff	Blantleff	-467.61:-115.77	5	Lothian League	
/wiki/Blida	Blida	168.30:-240.21	5	No record	
/wiki/Blommestein	Blommestein	724.78:222.87	5	No record	
/wiki/Blue_Diamond	Blue Diamond	-41.62:181.42	5	Lyran Commonwealth	
/wiki/Blue_Hole	Blue Hole	-186.65:348.67	5	Lyran Commonwealth	
/wiki/Blue_Sava	Blue Sava	-33.31:-66.81	5	No record	
/wiki/Blueys	Blueys	601.61:296.35	5	No record	
/wiki/Bluford	Bluford	447.44:-80.18	5	Federated Suns	
/wiki/Blumenort	Blumenort	-208.84:296.45	5	Lyran Commonwealth	
/wiki/Boara	Boara	-310.77:481.44	5	?	
/wiki/Boardwalk	Boardwalk	-13.70:-197.58	5	Capellan Confederation	
/wiki/Bob	Bob	440.69:243.84	0	No record	
/wiki/Bobruisk	Bobruisk	-336.19:-15.48	5	Lyran Commonwealth	
/wiki/Bodnath	Bodnath	157.54:-259.22	5	No record	
